symbol='MAINIDX', expiryDate='27JUL23', strike='19350', option='PE', LTP=71510, LTQ=50, totalTradedVolume=50, bestBid=70840, bestAsk=71990, bestBidQty=150, bestAskQty=200, openInterest=1850, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472982, prevClosePrice=8550, prevOpenInterest=8200
symbol='MAINIDX', expiryDate='27JUL23', strike='17800', option='CE', LTP=87720, LTQ=0, totalTradedVolume=0, bestBid=85325, bestAsk=86140, bestBidQty=150, bestAskQty=150, openInterest=145650, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472985, prevClosePrice=8600, prevOpenInterest=8100
symbol='MAINIDX', expiryDate='20JUL23', strike='16950', option='PE', LTP=470, LTQ=0, totalTradedVolume=0, bestBid=335, bestAsk=600, bestBidQty=200, bestAskQty=100, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471676, prevClosePrice=13850, prevOpenInterest=1800
symbol='MAINIDX', expiryDate='28DEC23', strike='18000', option='CE', LTP=140000, LTQ=0, totalTradedVolume=0, bestBid=139005, bestAsk=139685, bestBidQty=150, bestAskQty=50, openInterest=1439225, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472564, prevClosePrice=4450, prevOpenInterest=2000
symbol='MAINIDX', expiryDate='06JUL23', strike='19500', option='CE', LTP=155, LTQ=12400, totalTradedVolume=12400, bestBid=155, bestAsk=160, bestBidQty=157450, bestAskQty=123100, openInterest=9423550, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472711, prevClosePrice=5512800, prevOpenInterest=507200
symbol='MAINIDX', expiryDate='20JUL23', strike='18550', option='PE', LTP=13500, LTQ=50, totalTradedVolume=50, bestBid=13515, bestAsk=13705, bestBidQty=150, bestAskQty=600, openInterest=22950, timestamp=Sun Jul 02 20:56:53 IST 2023, sequence=471541, prevClosePrice=109400, prevOpenInterest=8500
symbol='FINANCIALS', expiryDate='11JUL23', strike='19450', option='CE', LTP=13525, LTQ=40, totalTradedVolume=40, bestBid=13780, bestAsk=14330, bestBidQty=80, bestAskQty=40, openInterest=4000, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=473056, prevClosePrice=9800, prevOpenInterest=9520
symbol='ALLBANKS', expiryDate='31AUG23', strike='39500', option='PE', LTP=5975, LTQ=0, totalTradedVolume=0, bestBid=5970, bestAsk=6115, bestBidQty=15, bestAskQty=15, openInterest=6150, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471805, prevClosePrice=1695, prevOpenInterest=1635
symbol='MAINIDX', expiryDate='27JUL23', strike='18250', option='CE', LTP=46305, LTQ=0, totalTradedVolume=0, bestBid=46045, bestAsk=46210, bestBidQty=100, bestAskQty=50, openInterest=74700, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472204, prevClosePrice=28900, prevOpenInterest=10250
symbol='MAINIDX', expiryDate='20JUL23', strike='18600', option='CE', LTP=17115, LTQ=50, totalTradedVolume=50, bestBid=17200, bestAsk=17465, bestBidQty=100, bestAskQty=100, openInterest=35100, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472114, prevClosePrice=25750, prevOpenInterest=15300
symbol='MAINIDX', expiryDate='31DEC26', strike='11000', option='PE', LTP=43100, LTQ=0, totalTradedVolume=0, bestBid=43100, bestAsk=43100, bestBidQty=0, bestAskQty=0, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=472104, prevClosePrice=2550, prevOpenInterest=0
symbol='MAINIDX', expiryDate='06JUL23', strike='19450', option='PE', LTP=90045, LTQ=0, totalTradedVolume=0, bestBid=86245, bestAsk=89005, bestBidQty=5050, bestAskQty=100, openInterest=0, timestamp=Sun Jul 02 20:56:54 IST 2023, sequence=471743, prevClosePrice=15250, prevOpenInterest=16750
